,retweet_count,favorite_count,followers_count,predict_class_label,Date_class
225,1048,0,0.435,4,0
226,31,163,6.82,4,1
227,0,0,1.43,4,1
228,8,0,6.82,2,2
229,34,0,6.82,2,0
230,8759,0,0.0364,2,0
231,583,4530,43,2,4
232,0,0,1.43,4,3
233,1,0,0.0364,2,2
234,8,20,0.0364,4,3
235,6,0,0.0364,4,3
236,7445,51381,43,2,4
237,11508,0,43,4,3
238,63,0,0.435,1,2
239,890,2192,43,2,3
240,0,1,0.0364,4,0
241,80,0,0.435,1,1
242,10,0,1.43,1,2
243,8807,71428,43,2,3
244,329,757,0.435,2,2
245,1,0,0.0364,4,0
246,0,0,0.0364,4,3
247,861,5354,6.82,4,0
248,1735,1074,43,4,3
249,202,468,43,4,2
250,1382,0,0.435,4,1
251,110,0,1.43,4,1
252,1378,4492,6.82,4,0
253,1187,16105,6.82,2,0
254,480,379,43,4,1
255,305,0,0.136,2,3
256,1,18,1.43,4,1
257,13,13,0.136,3,3
258,4,0,0.0364,4,3
259,4188,2764,43,2,0
260,8,30,0.136,2,0
261,4,17,0.136,2,4
262,165,0,0.435,1,0
263,59,273,6.82,4,0
264,39,0,0.0364,4,0
265,22,0,6.82,1,2
266,180,1192,6.82,4,2
267,114,651,6.82,4,2
268,1,5,0.0364,4,3
269,1,10,0.0364,4,3
270,11,0,0.435,4,3
271,1372,0,6.82,4,3
272,1429,0,0.435,1,2
273,12,0,1.43,4,2
274,99,0,1.43,2,1
275,55,423,6.82,2,0
276,1,10,0.136,4,4
277,1006,0,0.435,3,2
278,4900,11329,43,2,3
279,4,0,1.43,1,4
280,18,56,0.136,2,0
281,7,10,0.136,4,4
282,41,351,6.82,4,3
283,4,0,1.43,4,2
284,10001,81022,43,2,0
285,13,30,0.136,3,4
286,31,288,0.136,2,0
287,6,10,0.136,4,4
288,19,0,0.0364,4,2
289,130,688,6.82,4,0
290,1207,0,0.136,4,3
291,139169,0,1.43,2,1
292,9,0,1.43,3,3
293,457,0,43,2,4
294,576,0,43,2,3
295,26,0,6.82,4,1
296,773,0,43,2,1
297,84967,93331,43,2,0
298,247,3761,6.82,2,2
299,19,0,1.43,3,3
300,1773,0,0.435,4,3
301,3,0,0.0364,2,0
302,1645,0,0.435,2,0
303,3,0,1.43,1,2
304,47,0,0.435,4,3
305,1334,2787,0.435,1,3
306,0,2,1.43,3,0
307,4,17,0.136,4,3
308,17,0,0.0364,3,0
309,18,0,1.43,4,2
310,22,0,6.82,2,0
311,28,96,43,2,3
312,591,1830,6.82,4,1
313,25,0,0.0364,4,2
314,27,149,1.43,1,0
315,0,0,0.0364,2,0
316,720,0,0.435,1,2
317,2477,14162,43,4,0
318,55,395,6.82,2,3
319,3,0,0.0364,4,3
320,91,652,6.82,4,2
321,4,0,0.0364,2,3
322,50,0,0.435,4,1
323,4,65,1.43,1,2
324,660,0,0.435,2,1
325,6,11,0.136,3,3
326,3,0,1.43,3,1
327,2055,8781,43,2,0
328,289,1315,6.82,4,0
329,40,343,6.82,3,1
330,86,0,0.435,4,3
331,1,7,0.136,4,4
332,96,1875,43,2,3
333,41,0,0.136,4,4
334,1112,0,0.435,2,2
335,17,0,0.136,3,0
336,0,3,1.43,2,3
337,277,3327,1.43,4,0
338,0,11,1.43,3,0
339,72,0,0.435,1,2
340,1,8,0.0364,4,3
341,7,64,0.136,2,0
342,18,50,0.136,2,3
343,6,0,0.136,4,3
344,0,4,0.0364,4,4
345,337,767,43,2,2
346,29369,193107,43,3,3
347,46,0,0.136,3,4
348,0,0,1.43,4,1
349,85,293,1.43,4,2
350,3084,17795,43,2,3
351,61,896,6.82,4,0
352,87,470,6.82,3,0
353,2,4,0.0364,4,0
354,757,2628,0.435,1,3
355,1643,0,0.435,3,3
356,3,27,1.43,1,2
357,10506,3777,43,2,0
358,6,33,1.43,4,2
359,6,0,0.136,2,4
360,9780,11883,43,4,0
361,1,0,0.0364,2,3
362,12,0,0.435,3,3
363,0,20,1.43,4,0
364,28,0,6.82,3,3
365,19774,89880,43,3,0
366,31,0,6.82,4,0
367,289,3052,43,4,4
368,160,2327,43,2,3
369,0,2,0.0364,4,3
370,15,20,0.136,2,4
371,1301,0,0.435,2,1
372,2146,4591,43,4,0
373,43,0,6.82,4,1
374,217,1296,6.82,4,0
375,14,79,6.82,2,1
376,5382,5165,43,2,3
377,9685,20558,43,2,4
378,52,359,43,2,0
379,21,112,1.43,1,2
380,6,32,1.43,4,1
381,1,14,0.136,2,2
382,427,0,0.435,1,1
383,311,0,43,4,3
384,18,131,6.82,4,0
385,11,15,0.136,4,2
386,7981,0,1.43,1,3
387,216,629,43,2,4
388,3,16,0.136,1,3
389,0,1,1.43,4,3
390,3,0,0.0364,4,3
391,4,6,1.43,4,2
392,443,524,43,2,3
393,223,0,0.435,3,3
394,862,293,43,2,0
395,2,0,0.435,4,2
396,243,477,0.435,1,3
397,31,389,6.82,3,3
398,23,28,0.136,2,4
399,27,0,0.0364,4,3
400,635,2976,6.82,4,0
401,382,335,43,2,0
402,10,24,0.136,4,0
403,91,0,43,4,4
404,11,0,1.43,1,1
405,17,0,0.435,4,3
406,602,695,43,2,4
407,0,10,0.0364,4,3
408,46,0,0.0364,4,0
409,104,0,1.43,2,3
410,0,0,0.0364,4,3
411,7,48,1.43,4,3
412,42,354,6.82,4,2
413,90,0,43,3,3
414,8,22,0.136,4,0
415,493,0,0.435,4,1
416,2,0,0.0364,2,3
417,2,5,0.136,3,0
418,65,0,6.82,4,2
419,6,0,1.43,2,2
420,12,48,0.136,2,0
421,6,0,1.43,3,3
422,42,1163,43,2,3
423,5,7,0.136,3,4
424,4868,14716,6.82,2,0
425,2,0,0.0364,2,3
426,19,0,0.435,1,2
427,2581,2054,43,4,3
428,88,579,6.82,4,0
429,302,717,43,4,3
430,8,0,1.43,4,1
431,11,87,6.82,2,2
432,110,1636,6.82,4,3
433,0,1,0.0364,2,3
434,6481,17626,43,2,0
435,27,0,6.82,2,2
436,5,0,0.0364,4,3
437,1685,0,0.435,2,0
438,10,0,6.82,4,1
439,2800,5958,43,4,4
440,3,0,0.136,2,3
441,3,4,0.136,1,3
442,6,20,0.136,2,4
443,0,1,0.0364,4,0
444,3,0,1.43,1,0
445,257,1174,43,4,4
446,140,0,1.43,3,3
447,14,157,6.82,4,0
448,48,0,0.0364,4,4
449,9201,11114,43,2,4
450,2,13,0.0364,4,4
451,0,5,0.0364,2,0
452,5,0,1.43,3,1
453,274,339,43,2,0
454,728,3090,6.82,4,1
455,42,0,0.435,2,1
456,126,0,0.435,1,2
457,4,0,0.0364,4,3
458,187,288,0.435,4,1
459,0,0,0.136,4,3
460,1979,3875,43,2,0
461,185,779,6.82,4,2
462,2,10,0.136,4,4
463,4,0,0.0364,4,4
464,12,0,0.0364,4,3
465,7,0,0.0364,3,4
466,4,0,0.0364,4,3
467,2879,0,0.435,1,3
468,1,5,1.43,2,2
469,962,0,0.435,4,2
470,2,19,0.136,3,0
471,11,101,0.136,4,3
472,390,1130,6.82,2,0
473,0,0,0.136,4,3
